Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date
RS Bopara,4.0,0,16,6,4.00,Kings,v Qalandars,Sharjah,12 Feb 2016
Faheem Ashraf,4.0,0,19,6,4.75,United,v Qalandars,Karachi,9 Mar 2019
Umar Gul,4.0,0,24,6,6.00,Sultans,v Gladiators,Dubai (DSC),7 Mar 2018
Shaheen Shah Afridi,3.4,1,4,5,1.09,Qalandars,v Sultans,Dubai (DSC),9 Mar 2018
Shahid Afridi,4.0,1,7,5,1.75,Zalmi,v Gladiators,Sharjah,14 Feb 2016
Mohammad Sami,4.0,0,8,5,2.00,United,v Kings,Dubai (DSC),20 Feb 2016
SR Patel,4.0,1,5,4,1.25,Qalandars,v Gladiators,Lahore,7 Mar 2020
Yasir Shah,4.0,0,7,4,1.75,Qalandars,v Zalmi,Dubai (DSC),12 Feb 2017
S Lamichhane,4.0,0,10,4,2.50,Qalandars,v Gladiators,Dubai (DSC),27 Feb 2019
Mohammad Nawaz,4.0,0,13,4,3.25,Gladiators,v United,Dubai (DSC),4 Feb 2016
Sohail Tanvir,3.3,1,13,4,3.71,Sultans,v Zalmi,Multan,26 Feb 2020
Zafar Gohar,3.2,0,14,4,4.20,Qalandars,v Gladiators,Dubai (DSC),8 Feb 2016
GD Elliott,4.0,0,15,4,3.75,Gladiators,v Kings,Sharjah,13 Feb 2016
Hasan Ali,4.0,0,15,4,3.75,Zalmi,v Qalandars,Dubai (DSC),17 Feb 2019
Hasan Ali,4.0,0,15,4,3.75,Zalmi,v Kings,Sharjah,21 Feb 2019
Usman Shinwari,4.0,0,15,4,3.75,Kings,v Sultans,Abu Dhabi,4 Mar 2019
Rahat Ali,4.0,0,16,4,4.00,Gladiators,v Zalmi,Lahore,20 Mar 2018
Usman Shinwari,4.0,0,17,4,4.25,Kings,v United,Sharjah,16 Mar 2018
Hasan Ali,4.0,0,17,4,4.25,Zalmi,v Sultans,Sharjah,24 Feb 2019
Faheem Ashraf,3.0,0,18,4,6.00,United,v Gladiators,Abu Dhabi,5 Mar 2019
Shaheen Shah Afridi,4.0,0,18,4,4.50,Qalandars,v United,Lahore,23 Feb 2020
Imran Khalid,3.0,0,20,4,6.66,United,v Zalmi,Dubai (DSC),21 Feb 2016
Sohail Tanvir,4.0,1,21,4,5.25,Gladiators,v United,Dubai (DSC),17 Feb 2019
GD Elliott,3.0,0,23,4,7.66,Qalandars,v United,Dubai (DSC),11 Feb 2017
Umaid Asif,4.0,0,23,4,5.75,Zalmi,v United,Dubai (DSC),24 Feb 2018
Haris Rauf,4.0,0,23,4,5.75,Qalandars,v Kings,Dubai (DSC),16 Feb 2019
Dilbar Hussain,3.0,0,24,4,8.00,Qalandars,v Zalmi,Rawalpindi,28 Feb 2020
Rumman Raees,4.0,0,25,4,6.25,United,v Kings,Sharjah,1 Mar 2017
Mohammad Amir,4.0,0,25,4,6.25,Kings,v Sultans,Dubai (DSC),15 Feb 2019
Mohammad Hasnain,4.0,0,25,4,6.25,Gladiators,v United,Karachi,20 Feb 2020
L Gregory,3.0,0,25,4,8.33,Zalmi,v Qalandars,Rawalpindi,28 Feb 2020
Mohammad Amir,4.0,0,25,4,6.25,Kings,v Zalmi,Rawalpindi,2 Mar 2020
Amad Butt,4.0,0,27,4,6.75,United,v Sultans,Lahore,22 Feb 2020
Rahat Ali,4.0,0,29,4,7.25,Qalandars,v United,Dubai (DSC),14 Feb 2019
Salman Irshad,4.0,0,30,4,7.50,Qalandars,v Gladiators,Lahore,3 Mar 2020
SR Patel,4.0,0,34,4,8.50,United,v Zalmi,Dubai (DSC),9 Mar 2018
Mohammad Hasnain,3.0,0,34,4,11.33,Gladiators,v Zalmi,Rawalpindi,5 Mar 2020
Ehsan Adil,4.0,0,39,4,9.75,Qalandars,v Gladiators,Dubai (DSC),16 Feb 2016
SR Watson,4.0,0,44,4,11.00,United,v Zalmi,Dubai (DSC),9 Feb 2017
